Year,Date of onset,Date  of   Withdrawal,Actual_Rainfall,Normal_Rainfall,Departure
2002,11.06.2002,10.10.2002,1004,1024.3,-2
2003,23.06.2003,13.10.2003,1140,1024.3,12
2004,16.06.2004,02.10.2004,934,1024.3,-9
2005,21.06.2005,5.10.2005,853,1024.3,-17
2006,06.06.2006,09.10.2006,913,1024.3,-11
2007,10.06.2007,13.10.2007,1343,1024.3,32
2008,09.06.2008,13.10.2008,1043,1024.3,2
2009,29.06.2009,20.10.2009,752,1024.3,-27
2010,18.06.2010,26.10.2010,796,1024.3,-23
2011,17.06.2011,13.10.2011,1059,1027.6,3
2012,19.06.2012,15.10.2012,813,1027.6,-21
2013,15.06.2013,19.10.2013,722,1027.6,-31
2014,18.06.2014,18.10.2014,849,1027.6,-18
2015,22.06.2015,06.10.2015,745,1027.6,-28
2016,17.06.2016,16.10.2016,975,1027.6,-5
2017,22.06.2017,16.10.2017,937,1027.6,-9
2018,25.06.2018,05.10.2018,771,1027.6,-25
2019,21.06.2019,14.10.2019,1050,992.2,6
2020,13.06.2020,21.10.2020,1272.5,992.2,28
2021,13.06.2021,11.10.2021,1044.5,992.2,3
2022,13.06.2022,15.10.2022,683.3,992.2,-31
2023,12.06.2023,13.10.2023,760.5,992.2,-23
2024,20.06.2024,11.10.2024,798.2,992.2,-20
2025,15.06.2025,13.10.2025,686.3,992.2,-31
