S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1001.6,1374.6,-27
2,ARWAL,498.8,705.2,-29
3,AURANGABAD,700,859,-19
4,BANKA,952.6,870.6,9
5,BEGUSARAI,612.5,1009.5,-39
6,BHABUA,849.5,890.2,-5
7,BHAGALPUR,923.4,970.2,-5
8,BHOJPUR,568.2,889.3,-36
9,BUXAR,1060.1,785.4,35
10,DARBHANGA,636.2,899.6,-29
11,EAST CHAMPARAN,637,1055.2,-40
12,GAYA,760.7,828.3,-8
13,GOPALGANJ,761.1,968.6,-21
14,JAHANABAD,485.5,832.9,-42
15,JAMUI,598.3,936.4,-36
16,KATIHAR,653.3,1078.9,-39
17,KHAGARIA,596.5,971.3,-39
18,KISHANGANJ,1487.3,1746.2,-15
19,LAKHISARAI,610.6,850.3,-28
20,MADHEPURA,853.6,1046.3,-18
21,MADHUBANI,971.2,972.1,0
22,MONGHYR,705.3,1019.9,-31
23,MUZAFFARPUR,536.6,967.8,-45
24,NALANDA,606.2,852.8,-29
25,NAWADA,727.7,826.5,-12
26,PATNA,623.6,886.9,-30
27,PURNEA,1013,1411.8,-28
28,ROHTAS,662.6,842.3,-21
29,SAHARSA,603.3,1083.3,-44
30,SAMASTIPUR,773.4,945.7,-18
31,SARAN,452,899.4,-50
32,SHEIKHPURA,555.4,818,-32
33,SHEOHAR,692.2,1008.7,-31
34,SITAMARHI,871.3,1060.3,-18
35,SIWAN,556.9,901,-38
36,SUPAUL,782.9,1085.7,-28
37,VAISHALI,524.2,905.4,-42
38,WEST CHAMPARAN,1297.4,1232.2,5
