Join Code,S_No,DISTRICT_NAME
1,1,ARARIA
2,2,ARWAL
3,3,AURANGABAD
4,4,BANKA
5,5,BEGUSARAI
6,6,BHABUA
7,7,BHAGALPUR
8,8,BHOJPUR
9,9,BUXAR
10,10,DARBHANGA
11,11,EAST CHAMPARAN
12,12,GAYA
13,13,GOPALGANJ
14,14,JAHANABAD
15,15,JAMUI
16,16,KATIHAR
17,17,KHAGARIA
18,18,KISHANGANJ
19,19,LAKHISARAI
20,20,MADHEPURA
21,21,MADHUBANI
22,22,MONGHYR
23,23,MUZAFFARPUR
24,24,NALANDA
25,25,NAWADA
26,26,PATNA
27,27,PURNEA
28,28,ROHTAS
29,29,SAHARSA
30,30,SAMASTIPUR
31,31,SARAN
32,32,SHEIKHPURA
33,33,SHEOHAR
34,34,SITAMARHI
35,35,SIWAN
36,36,SUPAUL
37,37,VAISHALI
38,38,WEST CHAMPARAN
